proto,ac,active,actuator,air,alarm,angle,apparent,atmospheric,avg,boiler,bypass,ch2o,chilled,chiller,circ,cloudage,cmd,co,co2,concentration,condensate,condenser,controller,cool,cooling,coolingCoil,coolingTower,crac,current,damper,daytime,delta,demand,dessicantDehumidifier,device,dewPoint,direction,discharge,duct,ductArea,economizer,economizing,effective,efficiency,elec,enable,energy,entering,enthalpy,equip,evaporator,exhaust,export,extraction,faceBypass,fan,fcu,feelsLike,filter,flow,flowInverter,flue,flux,freezeStat,freq,ground,header,heat,heatExchanger,heatWheel,heating,heatingCoil,hot,humidifier,humidity,hvacMode,illuminance,imbalance,import,infiltration,inlet,irradiance,isolation,leaving,level,light,load,luminous,magnitude,makeup,meter,mixed,mixing,motor,net,networking,nh3,no2,o3,occ,occupancy,occupied,outside,perimeterHeat,pf,phase,pipe,pm01,pm10,pm25,point,power,precipitation,pressure,pump,purge,rack,reactive,refrig,reheat,return,run,sensor,server,solar,sp,space,speed,stage,standby,steam,temp,thd,thermal,thermostat,total,tvoc,unocc,valve,velocity,ventilation,vfd,visibility,volt,volume,warm,water,weather,weatherCond,well,wetBulb,wind,zone
chilled water entering pump motor equip,"","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","",""
chilled water entering pump point,"","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","",""
chilled water entering pump run cmd point,"","","","","","","","","","","","",✓,"","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","",""
chilled water entering pump run sensor point,"","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","",✓,✓,"","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","",""
chilled water entering pump vfd freq cmd point,"","","","","","","","","","","","",✓,"","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","",✓,"","","","","",""
chilled water entering pump vfd freq sensor point,"","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","","",✓,"","","","","","","","","","","","","","","","","","",✓,"","","","",✓,"","","","","",""
chilled water entering pump vfd speed cmd point,"","","","","","","","","","","","",✓,"","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","","","","","","","",✓,"","","","","","","","","","","","","",✓,"","","","",✓,"","","","","",""
chilled water entering pump vfd speed sensor point,"","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","",✓,"","","","","","","",✓,"","","","",✓,"","","","","","","","","","","","","",✓,"","","","",✓,"","","","","",""
chilled water entering temp sensor point,"","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","","","","",✓,"","","","","","","","","","","","","","",✓,"","","","","",""
chilled water entering temp sp point,"","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","",✓,"","","","","",✓,"","","","","","","","","","","","","","",✓,"","","","","",""
chilled water entering valve actuator equip,"","",✓,"","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","",✓,"","","","","",""
chilled water entering valve cmd point,"","","","","","","","","","","","",✓,"","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","",✓,"","","","","",""
chilled water entering valve sensor point,"","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","","","","","","","","","","","",✓,"","","","","","","",✓,"","","","","",""
chilled water header equip,"","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","",""
chilled water header flow sensor point,"","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","",""
chilled water header flow sp point,"","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","",✓,"","","","","",""
chilled water header pipe equip,"","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","",""
chilled water header point,"","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","",""
chilled water header pressure sensor point,"","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",✓,"","",✓,"","","","","","","","",✓,"","","","","","","","","","","","","","","","","","","","","","","",✓,"","","","","",""
